id;Annee/Mois;00:00;01:00;02:00;03:00;04:00;05:00;06:00;07:00;08:00;09:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00;Journée gazière;Production Journalière (MWh PCS);Opérateur;Nombre de sites d'injection raccordés au réseau de transport;Statut de la donnée
2018-08-06-GRTgaz;2018-08;13.047;13.808;12.868;13.258;11.692;11.648;10.033;8.582;8.824;13.011;12.487;13.696;13.758;11.714;9.78;11.242;10.759;11.398;11.603;10.157;10.439;11.248;13.943;13.885;2018-08-06;282.88;GRTgaz;5;Provisoires
2018-09-01-GRTgaz;2018-09;14.814;12.861;14.289;14.616;14.507;14.291;15.345;15.299;15.87;15.702;14.688;16.15;15.993;15.664;15.661;15.276;15.067;13.553;14.692;14.912;14.851;14.711;14.862;14.793;2018-09-01;358.467;GRTgaz;5;Provisoires
2018-10-24-GRTgaz;2018-10;11.808;13.726;13.521;14.08;14.119;12.698;12.433;11.9;10.533;13.12;12.535;13.388;14.103;14.449;14.544;14.258;14.031;14.06;13.468;13.072;13.273;13.18;11.969;13.338;2018-10-24;317.606;GRTgaz;7;Provisoires
2018-11-06-GRTgaz;2018-11;13.737;12.221;13.226;13.637;13.658;12.359;15.069;15.428;15.362;13.125;14.543;14.145;12.917;15.367;16.206;15.784;16.093;15.386;15.8;15.894;15.911;16.436;14.721;15.953;2018-11-06;352.978;GRTgaz;7;Provisoires
2018-11-08-GRTgaz;2018-11;18.787;18.416;19.054;17.082;12.958;15.684;11.495;10.833;11.331;11.328;12.246;11.613;11.78;11.588;10.47;12.284;11.333;10.665;10.976;11.733;19.392;17.001;18.857;17.206;2018-11-08;334.112;GRTgaz;7;Provisoires
2018-11-26-GRTgaz;2018-11;16.925;14.68;14.444;15.964;17.486;16.669;16.049;17.088;15.692;15.552;16.514;16.188;13.297;13.347;13.804;12.863;15.451;17.865;19.23;18.027;17.984;17.76;16.48;17.784;2018-11-26;387.143;GRTgaz;7;Provisoires
2018-12-02-GRTgaz;2018-12;12.979;11.262;15.4;15.582;15.471;14.853;14.227;12.003;13.703;13.727;14.461;14.142;13.878;13.927;16.453;12.929;10.388;11.885;13.893;15.953;12.377;15.443;15.128;13.069;2018-12-02;333.133;GRTgaz;7;Provisoires
2019-01-02-GRTgaz;2019-01;12.998;12.668;13.535;15.163;13.949;11.21;12.7;10.421;12.616;13.118;13.201;15.526;13.494;12.091;10.889;15.167;15.599;14.111;10.456;12.523;14.901;15.569;13.261;12.649;2019-01-02;317.815;GRTgaz;7;Provisoires
2019-01-11-GRTgaz;2019-01;14.623;13.084;15.27;15.071;15.089;13.369;11.558;12.886;13.538;13.088;13.26;14.826;14.595;13.767;12.789;14.568;14.788;12.705;12.998;15.302;14.986;13.414;13.314;15.048;2019-01-11;333.936;GRTgaz;7;Provisoires
2019-01-17-GRTgaz;2019-01;19.812;19.191;18.945;17.354;16.09;14.446;8.985;10.424;9.633;11.142;15.77;14.196;15.971;16.559;13.786;15.199;14.48;15.407;12.567;15.693;14.666;16.32;17.628;18.83;2019-01-17;363.094;GRTgaz;7;Provisoires
2019-02-20-GRTgaz;2019-02;18.462;19.047;19.743;19.258;20.913;16.602;18.742;17.145;15.903;16.626;19.829;21.065;18.161;18.944;19.069;17.329;15.568;14.817;15.924;15.348;19.135;18.285;16.518;19.492;2019-02-20;431.925;GRTgaz;8;Provisoires
2019-03-03-GRTgaz;2019-03;17.771;19.815;16.846;16.365;16.765;11.675;18.465;18.603;18.576;18.509;17.212;17.407;17.631;18.353;19.414;19.163;18.504;18.84;19.155;19.244;18.161;19.483;18.951;19.109;2019-03-03;434.017;GRTgaz;8;Provisoires
2019-03-06-GRTgaz;2019-03;19.343;13.086;13.7;17.704;18.92;18.766;16.354;17.231;17.524;20.642;22.254;21.32;22.891;19.708;18.576;19.758;20.125;22.308;22.075;17.575;19.022;16.88;17.999;19.749;2019-03-06;453.51;GRTgaz;8;Provisoires
