Annee;Mois;Nombre de sites biomethane;Production mensuelle de biomethane (MWh);Nombre de sites biomethane GRTgaz;Production mensuelle  sur réseau GRTgaz (MWh)
2015;2015-02;6;4045;;
2015;2015-03;8;5233;;
2015;2015-08;12;6982;;
2017;2017-01;27;27119;1;
2018;2018-10;70;73509;7;11093
2018;2018-12;76;75252;7;9913
2019;2019-04;88;92261;8;13340
2020;2020-02;136;139122;12;23875
2020;2020-07;155;178653;13;28645
2020;2020-10;188;216205;14;28000
2020;2020-11;199;232096;15;34371
2021;2021-05;257;333756;30;63202
2021;2021-10;336;427482;43;80413
2022;2022-01;371;493750;46;92577
2022;2022-05;426;573907;48;103228
2022;2022-06;442;546377;49;97378
2022;2022-07;457;584539;51;103408
2022;2022-08;466;596834;54;109979
2022;2022-10;490;657909;60;117123
2024;2023-03;551;716468;69;131737
2015;2015-01;6;4349;;
2016;2016-03;19;11008;1;
2016;2016-05;21;16493;1;
2016;2016-11;24;22509;1;
2016;2016-12;26;24900;1;
2017;2017-02;30;27509;1;
2017;2017-03;32;31244;1;
2018;2018-01;45;46516;3;5674
2018;2018-02;47;44866;4;6816
2018;2018-05;57;56923;5;7338
2019;2019-05;90;99473;9;17974
2019;2019-08;100;105252;9;18052
2019;2019-09;107;114906;10;18856
2020;2020-04;141;165061;13;28678
2020;2020-05;145;168476;13;28330
2020;2020-09;172;186232;13;26793
2015;2015-04;9;5571;;
2015;2015-05;9;6015;;
2015;2015-07;11;6334;;
2015;2015-12;17;9344;1;
2017;2017-04;32;32857;1;
2017;2017-06;35;31515;1;
2017;2017-07;35;33253;1;
2017;2017-08;36;32590;1;
2017;2017-10;40;39102;1;
2018;2018-03;48;52206;4;7868
2018;2018-04;52;53827;4;8191
2018;2018-06;58;54935;5;8585
2018;2018-08;65;61255;5;9059
2018;2018-11;72;71265;7;10573
2019;2019-02;84;78732;8;11648
2019;2019-10;109;123393;10;19096
2019;2019-11;115;123007;11;21431
2020;2020-03;139;162112;13;26212
2020;2020-06;149;169184;13;28550
2020;2020-12;214;265381;21;44775
2021;2021-08;306;387410;39;77717
2021;2021-11;351;442939;44;86253
2022;2022-03;401;553953;48;101729
2022;2022-09;480;617262;58;110286
2022;2022-11;502;642651;62;117932
2022;2022-12;514;688999;64;125010
2015;2015-06;9;6907;;
2015;2015-10;16;9490;;
2016;2016-01;17;11265;1;
2016;2016-02;18;13108;1;
2016;2016-04;20;15313;1;
2016;2016-07;22;19366;1;
2016;2016-08;23;19210;1;
2016;2016-09;24;21156;1;
2017;2017-09;38;34695;1;
2018;2018-07;61;58995;5;9500
2019;2019-03;88;92630;8;14343
2019;2019-07;98;95562;9;16546
2019;2019-12;123;137233;12;23627
2021;2021-01;218;275668;21;46386
2021;2021-03;234;313477;26;53561
2021;2021-04;244;310070;28;54571
2021;2021-09;317;394511;40;74931
2023;2023-02;539;643382;68;118237
2015;2015-09;16;8455;;
2015;2015-11;16;9346;;
2016;2016-06;21;17097;1;
2016;2016-10;24;23727;1;
2017;2017-05;32;33213;1;
2017;2017-11;43;38492;2;
2017;2017-12;44;44778;3;5473
2018;2018-09;67;63982;5;10709
2019;2019-01;81;80465;7;11021
2019;2019-06;91;92337;9;16118
2020;2020-01;128;142769;12;24033
2020;2020-08;159;182669;13;27635
2021;2021-02;226;256078;23;43593
2021;2021-06;283;339705;33;63547
2021;2021-07;295;373548;37;72023
2021;2021-12;365;483010;46;89976
2022;2022-02;383;466242;47;87591
2022;2022-04;414;551031;48;97403
2023;2023-01;522;698448;64;123798
